Type;Status;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name
Node;KEEP;datastoreDeleteRecipe;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreDeleteRecipeAndVariants;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreDoubleOptin;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreDuplicateApplianceGroup;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreEaiAnonymizeProfilesAsynchronous;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreEaiProfilesAsynchronous;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreFindAbacusesByIdentifier;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreFindAndClassifyProfile;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreFindConsistency;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreFindContentsLibraryByType;Node;commonFindLibraryRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreFindContentsLibraryByTypeAndParent;Node;commonFindLibraryRoute;;;;;;;;;;;;;;;;;;;;
Node;FIX;datastoreFindLastModifiedReferenceData;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreFindRecipePlains;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreFindRecipesByGenericDish;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreFindResources;Exitpoint;datastore-service;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreFindTemplateRecipes;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGenerateCommentPlain;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGenerateRecipePlain;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetAbacusMarketsForDomain;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetAllAbacusByMarket;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetAuthenticatedProfile;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreGetCommentPlains;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;VALIDATE;datastoreGetContentTree;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetExtendedProfile;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetOneReferenceDataAssociatedDomains;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreGetOtherEquipments;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetProductReferences;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoregetprofileByRcuUserId;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreGetRandomSuggestions;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetRecipeCommunity;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetReferenceDataAssociatedDomains;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetReferenceDataLabelDomainMarketLang;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreGetResourceInSearchVersion;Node;datastoreCrud;;;;;;;;;;;;;;;;;;;;
Node;VALIDATE;datastoreGetSemanticImprovers;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreGetUuidByFid;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreLogin;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreMembersByProfiles;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;FIX;datastoreMoveProfileToAnotherPerimeter;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreProductInProfile;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreProfileAuthentication;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreProfilePerimeterByProfileUid;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreProfilesByPlace;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreProfilesByPreference;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreProfilesByProduct;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastorePublishArchive;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastorePublishBinary;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastorePublishPack;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreReadAll;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreReadBatch;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;VALIDATE;datastoreReadById;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
