Type;Status;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name
Entrypoint;KEEP;GET /profiles/me;Node;findHouseholdByProfileId;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /recipes/{sourceSystem}/{functionalId};;;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /recipes/{sourceSystem}/{functionalId}/binaries ;Node;rudBinary;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /recipes/{sourceSystem}/{functionalId}/comments;Node;paginatedRead;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /recipes/{sourceSystem}/{functionalId}/evaluations;Node;readEvaluationByRecipeAndUser;Node;readEvaluationByUserAndDate;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /recipes/{sourceSystem}/{functionalId}/learnt;Node;userLearnt;;;;;;;;;;;;;;;;;;;;
Entrypoint;VALIDATE;GET /recipes/{sourceSystem}/{functionalId}/variants;Node;getRecipesByTopRecipe;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /references;Node;readAllReferenceData;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /references/{resourceName};Node;readReferenceData;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /references/{resourceName}/{key};Node;readReferenceData;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /references/{resourceName}/{key}/targetDomains;Node;functionalGetReferenceDataTargetDomains;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /referenceTypes;Node;functionalGetReferenceDataAssociatedDomains;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /referenceTypes/{resourceName};Node;functionalGetOneReferenceDataAssociatedDomains;;;;;;;;;;;;;;;;;;;;
Entrypoint;FIX;GET /statics/{resolution}/{fileName:.+};Node;readMedia;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /statics/findApiproMediaById;Node;readApiproMedia;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /status;Node;searchRecipe;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /suggest/recipes/community;Node;getRecipeSuggestion;Node;findHouseholdByProfileId;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /suggest/recipes/navigationCards/{navigationCard};Node;getNavigationCardSuggestion;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /suggest/recipes/similar/{sourceSystem}/{functionalId};Node;getSimilarRecipeSuggestion;;;;;;;;;;;;;;;;;;;;
Entrypoint;FIX;GET /sync/{resourceRequested}/{domain}/{timestamp};Node;apiproSynchronization;Node;synchronization;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /topRecipes/{sourceSystem}/{topRecipeFunctionalId};Node;getRecipesByTopRecipe;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /topRecipes/{topRecipeUid}/improvement/dashboard;Node;getSematicImprovers;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /transcodifications;Node;transcodifications;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /transcodifications/markets/{dcpKey};Node;getTranscodificationsByDomainType;Node;transcodifications;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /v2/abacus/list/markets;Node;getAbacusMarketsForDomain;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /v2/kitchenwares;Node;getKitchenwares;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /v2/profiles/me;Node;findHouseholdByProfileId;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /v2/programs;Node;readProgramsByApplianceGroup;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /v2/recipes/{sourceSystem}/{functionalId};Node;datastoreSearch;Node;datastoreSearch;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /v2/recipes/{sourceSystem}/{functionalId}/comments;Node;datastoreGetCommentPlains;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /v2/sebana/{resource};Node;dataCollectResource;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /v2/sync/{resourceRequested}/{timestamp};Node;synchronization;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /variants;Node;getRecipesByTopRecipe;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /variantsInfo;Node;getRecipesInfoByTopRecipe;;;;;;;;;;;;;;;;;;;;
Node;KEEP;getAbacusMarketsForDomain;Node;datastoreGetAbacusMarketsForDomain;;;;;;;;;;;;;;;;;;;;
Node;DELETE;getAllTransactions;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;DELETE;getApplianceByApplianceGroup;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;getAuthenticatdProfile;Node;datastoreGetAuthenticatedProfile;;;;;;;;;;;;;;;;;;;;
Node;VALIDATE;getContentTree;Node;datastoreGetContentTree;;;;;;;;;;;;;;;;;;;;
Node;KEEP;getKitchenwares;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;getNavigationCardSuggestion;Node;suggestions;Node;datastoreReadBatch;;;;;;;;;;;;;;;;;;
Node;KEEP;getProductReferencesHierarchy;Node;datastoreGetProductReferences;;;;;;;;;;;;;;;;;;;;
Node;KEEP;getProfileByRcuUserId;Node;datastoregetprofileByRcuUserId;;;;;;;;;;;;;;;;;;;;
Node;DELETE;getRandomSuggestions;Node;datastoreGetRandomSuggestions;;;;;;;;;;;;;;;;;;;;
Node;KEEP;getRecipesByTopRecipe;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;getRecipesInfoByTopRecipe;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;DELETE;getRecipeSuggestion;Node;suggestions;Node;suggestionReadRecipeSuggestions;Node;datastoreReadBatch;;;;;;;;;;;;;;;;
Node;DELETE;getRecipeSuggestionProfileParameter;Node;suggestions;Node;datastoreReadBatch;;;;;;;;;;;;;;;;;;
Node;KEEP;getSematicImprovers;Node;datastoreGetSemanticImprovers;;;;;;;;;;;;;;;;;;;;
Node;DELETE;getSimilarRecipeSuggestion;Node;querySimilarRecipes;;;;;;;;;;;;;;;;;;;;
Node;DELETE;getTranscodificationsByDomainType;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;DELETE;getTypologiesSuggestion;Node;suggestionReadTypologySuggestions;;;;;;;;;;;;;;;;;;;;
Node;KEEP;importRefData;Node;refDataImporter;;;;;;;;;;;;;;;;;;;;
Node;VALIDATE;importRefDataMedia;Node;refDataMediaImporter;;;;;;;;;;;;;;;;;;;;
Node;KEEP;indexAndMailComment;Node;sendMail;Node;prepareIndexComment;;;;;;;;;;;;;;;;;;
Node;KEEP;indexationAndDatastoreUpdate;Node;crud;;;;;;;;;;;;;;;;;;;;
Node;KEEP;indexatorAuthProfile;Node;crudIndexation;;;;;;;;;;;;;;;;;;;;
Node;KEEP;indexatorIndexMultipleResources;Node;multipleIndexation;;;;;;;;;;;;;;;;;;;;
Node;KEEP;indexatorIndexResources;Node;FirstIndexation;;;;;;;;;;;;;;;;;;;;
Node;DELETE;indexCreate;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;indexCreateSimple;Node;profileWrapperIndexation;Node;setNormalizedValues;Exitpoint;search-indexation-service;;;;;;;;;;;;;;;;
Node;DELETE;indexDelete;Exitpoint;search-indexation-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;indexQuery;Exitpoint;search-query-service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;indexRecipe;Node;indexCreate;;;;;;;;;;;;;;;;;;;;
Node;FIX;login;Node;datastoreLogin;Node;SSOApiPro;;;;;;;;;;;;;;;;;;
Node;KEEP;loopIndexation;Node;findAndIndex;;;;;;;;;;;;;;;;;;;;
Node;KEEP;medias;Node;s4Medias;Node;s4Output;;;;;;;;;;;;;;;;;;
Node;KEEP;mediasProperties;Node;s4MediasProperties;Node;s4Output;;;;;;;;;;;;;;;;;;
Node;KEEP;membersUidByProfile;Node;datastoreMembersByProfiles;;;;;;;;;;;;;;;;;;;;
Node;KEEP;moderationSendEmail;Exitpoint;Send email;;;;;;;;;;;;;;;;;;;;
Node;FIX;moveProfileToAnotherPerimeter;Node;datastoreMoveProfileToAnotherPerimeter;Node;crudIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;multipleIndexation;Node;indexatorIndexResources;;;;;;;;;;;;;;;;;;;;
Node;KEEP;normalizatorNormalizeData;Exitpoint;normalizator-service;;;;;;;;;;;;;;;;;;;;
Exitpoint;KEEP;normalizator-service;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;normalizeUnitData;Node;normalizatorNormalizeData;;;;;;;;;;;;;;;;;;;;
Node;KEEP;otherVariantsIndexation;Node;findVariantsUids;Node;crudIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;paginatedRead;Node;datastoreReadAll;;;;;;;;;;;;;;;;;;;;
Node;KEEP;parallelIndexation;Node;indexCreateSimple;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PATCH /comments/batch;Node;batchComments;Node;getRecipesByTopRecipe;;;;;;;;;;;;;;;;;;
Node;KEEP;placeProfileIndexation;Node;profilesByPlace;Node;crudIndexation;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /{domainTypeName};Node;indexatorIndexMultipleResources;;;;;;;;;;;;;;;;;;;;
Entrypoint;FIX;POST /accounts/{sourceSystem};Node;uniquenessSerialNumber;Node;findByEmailInPerimeter;Node;crudHousehold;Node;sendEmail;Node;updateDeleteAccount;Node;findHouseholdByProfileId;Node;doubleOptin;;;;;;;;
Entrypoint;DELETE;POST /adaptation/adapt;Node;adaptRecipe;Node;readFood;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;POST /adaptation/revert/{sourceSystemKey}/{functionalId};Node;revertRecipeAdaptation;Node;readFood;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;POST /admin/apiProSynchronisation;Node;toApiProSynchronisation;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /admin/comments/denormalize;Node;denormalizeComments;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /admin/maintenance/refData/consistencies/scale;Node;datastoreFindLastModifiedReferenceData;Node;datastoreFindResources;;;;;;;;;;;;;;;;;;
Entrypoint;VALIDATE;POST /admin/maintenance/refDataMedia/import;Node;importRefDataMedia;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /admin/recipes/copy;Node;variantRecipe;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /admin/recipes/denormalize;Node;denormalizeRecipes;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /admin/recipes/duplicateApplianceGroup;Node;checkDuplication;Node;findHouseholdByProfileId;Node;duplicateApplianceGroup;Node;searchRecipe;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /batch/exportDataRefs;Node;exportDataRefBatch;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /comments/search;Node;search;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /contents;Node;cru;Node;crud;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /contents/acp;Node;findHouseholdByProfileId;Node;autocompletion;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /contents/search;Node;search;;;;;;;;;;;;;;;;;;;;
Entrypoint;VALIDATE;POST /contents/updateHierarchyStatus;Node;updateContentTreeStatus;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /datarefs/{resourceName}/search;Node;search;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /datarefs/acp;Node;autocompletion;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;POST /differentiate;Node;differentiate;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /households/{sourceSystem}/{functionalId}/members;Node;crudHouseholdMembers;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /indexator/{domainTypeName}/{elementName};Node;indexatorIndexMultipleResources;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /ingredients/improvement/search;Node;findHouseholdByProfileId;Node;search;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /ingredients/parse;Node;readReferenceData;;;;;;;;;;;;;;;;;;;;
Entrypoint;FIX;POST /login;Node;login;Node;crudHousehold;Node;getProfileByRcuUserId;Node;sendEmail;Node;uniquenessSerialNumber;Node;doubleOptin;;;;;;;;;;
Entrypoint;KEEP;POST /packs/{packKey}/binaries;Node;generatePackBinary;Node;readReferenceData;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /pictures/upload /pictures /videos/upload /videos /upload;Node;medias;;;;;;;;;;;;;;;;;;;;
Entrypoint;FIX;POST /profiles/{sourceSystem};Node;crudHousehold;Node;uniquenessSerialNumber;Node;doubleOptin;;;;;;;;;;;;;;;;
Entrypoint;FIX;POST /profiles/{sourceSystem}/{functionalId}/move;Node;moveProfileToAnotherPerimeter;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /profiles/{sourceSystem}/{functionalId}/products;Node;sendEmail;Node;productInProfile;Node;uniquenessSerialNumber;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /profiles/search;Node;search;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes /recipes/{sourceSystem};Node;create;Node;readReferenceData;Node;cuRecipe;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/{sourceSystem}/{functionalId}/binaries;Node;generateRecipeBinary;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/{sourceSystem}/{functionalId}/comments;Node;crud;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/{sourceSystem}/{functionalId}/evaluations;Node;createEvaluationAndGetAverage;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/{sourceSystem}/{functionalId}/moderations;Node;recipeModeration;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/{sourceSystem}/{functionalId}/packs/{packKey};Node;recipePackAssociation;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/acp;Node;findHouseholdByProfileId;Node;autocompletion;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/acp/ingredients;Node;findHouseholdByProfileId;Node;autocompletion;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/copy;Node;copyRecipes;Node;searchRecipe;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/export;Node;exportRecipes;Node;sendEmail;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/facet/{facetName};Node;normalizeUnitData;Node;findHouseholdByProfileId;Node;searchRecipe;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/search;Node;normalizeUnitData;Node;findHouseholdByProfileId;Node;searchRecipe;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /recipes/statuses;Node;updateVariantsStatusesBatch;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;POST /recipes/typologies/{typology};Node;getRecipeSuggestion;Node;createContexts;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /references/{resourceName}/orders;Node;updateOrdersRefData;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /referenceTypes/{resourceName};Node;functionalCreateDomainForReferenceDataType;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /refreshToken;Node;findByEmailInPerimeter;Node;uniquenessSerialNumber;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;POST /signin;Node;login;Node;findByEmailInPerimeter;Node;crudHousehold;Node;getProfileByRcuUserId;Node;sendEmail;Node;uniquenessSerialNumber;Node;medias;Node;doubleOptin;Node;transcodifications;;;;
Entrypoint;DELETE;POST /suggest/recipes/profileParameters;Node;getRecipeSuggestionProfileParameter;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;POST /suggest/recipes/proposals;Node;getRecipeSuggestion;Node;createContexts;Node;findHouseholdByProfileId;Node;getTypologiesSuggestion;;;;;;;;;;;;;;
Entrypoint;DELETE;POST /suggest/recipes/typologies/{typology};Node;findHouseholdByProfileId;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;POST /suggest/typologies;Node;createContexts;Node;findHouseholdByProfileId;Node;getTypologiesSuggestion;;;;;;;;;;;;;;;;
Entrypoint;DELETE;POST /transactions/batchAdd;Node;saveCollection;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/abacus/export/market;Node;medias;Node;readReferenceData;Node;datastoreGetAllAbacusByMarket;Node;findTemplateRecipes;Node;readAllReferenceData;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/abacus/export/template;Node;medias;Node;readReferenceData;Node;datastoreGetAllAbacusByMarket;Node;findTemplateRecipes;Node;readAllReferenceData;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/abacus/import;Node;create;Node;readReferenceData;Node;datastoreSearch;Node;cuRecipe;Node;findAbacusesByIdentifier;Node;functionalGetReferenceDataLabelDomainMarketLang;;;;;;;;;;
Entrypoint;KEEP;POST /v2/abacus/references/{resourceName}/{key};Node;readReferenceData;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/ingredients/parse;Node;semantizeIngredients;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/iotProducts;Node;productInProfile;Node;updateProductWithMarket;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/notificationTokens;Node;saveNotificationToken;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/packs/{packKey}/archives;Node;readReferenceData;;;;;;;;;;;;;;;;;;;;
Entrypoint;FIX;POST /v2/profiles/{sourceSystem};Node;uniquenessSerialNumber;Node;crudHousehold;Node;sendEmail;Node;doubleOptin;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/profiles/me/products;Node;sendEmail;Node;uniquenessSerialNumber;Node;productInProfile;;;;;;;;;;;;;;;;
Entrypoint;FIX;POST /v2/rcu/signin;Node;getProfileByRcuUserId;Node;sendEmail;Node;doubleOptin;Node;crudHousehold;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/recipes /v2/recipes/{sourceSystem};Node;create;Node;readReferenceData;Node;cuRecipe;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/recipes/translations/export;Node;medias;Node;readReferenceData;Node;sendEmail;Node;findHouseholdByProfileId;Node;findRecipePlains;Node;searchRecipe;;;;;;;;;;
Entrypoint;KEEP;POST /v2/recipes/translations/import;Node;create;Node;readReferenceData;Node;cuRecipe;Node;sendEmail;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v2/references/import;Node;importRefData;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST /v3/contents/copy;Node;copyContents;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;POST recipes/{sourceSystem}/{functionalId}/variant;Node;variantRecipe;;;;;;;;;;;;;;;;;;;;
Node;KEEP;prepareIndexComment;Node;crudIndexation;;;;;;;;;;;;;;;;;;;;
Node;FIX;preparePackBinary;Node;readReferenceData;Node;getTranscodificationsByDomainType;;;;;;;;;;;;;;;;;;
Node;KEEP;processingGeneration;Exitpoint;Binerator service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;processLock;Node;catchingGlobalProcess;;;;;;;;;;;;;;;;;;;;
Node;KEEP;productInProfile;Node;datastoreProductInProfile;Node;productProfileIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;productProfileIndexation;Node;profilesByProduct;Node;crudIndexation;;;;;;;;;;;;;;;;;;
Node;DELETE;profileAuthentication;Node;datastoreProfileAuthentication;;;;;;;;;;;;;;;;;;;;
Node;KEEP;profileExporter;Exitpoint;Profiles exporter service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;profileIndexation;Node;crudIndexation;;;;;;;;;;;;;;;;;;;;
Exitpoint;KEEP;Profiles exporter service;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;profilesByPlace;Node;datastoreProfilesByPlace;;;;;;;;;;;;;;;;;;;;
Node;KEEP;ProfilesByPreference;Node;datastoreProfilesByPreference;;;;;;;;;;;;;;;;;;;;
Node;KEEP;profilesByProduct;Node;datastoreProfilesByProduct;;;;;;;;;;;;;;;;;;;;
Node;KEEP;profilesUidByProduct;Node;datastoreProfilesByProduct;;;;;;;;;;;;;;;;;;;;
Node;KEEP;profileWrapperIndexation;Node;datastoreFindResources;;;;;;;;;;;;;;;;;;;;
Node;KEEP;publishArchive;Node;datastorePublishArchive;;;;;;;;;;;;;;;;;;;;
Node;KEEP;publishPack;Node;generatePackBinary;Node;publishPackBinary;Node;datastorePublishPack;Node;datastoreReadPack;Node;crudIndexation;Node;reindexPack;;;;;;;;;;
Node;KEEP;publishPackBinary;Node;rudBinary;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /accounts/{sourceSystem};Node;findHouseholdByProfileId;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;PUT /admin/recipes;Node;crudIndexation;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /comments/{sourceSystem}/{functionalId};Node;crud;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /contents/{sourceSystem}/{functionalId};Node;crud;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /households/{sourceSystem}/{functionalId}/members;Node;crudHouseholdMembers;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /ingredients/improvement/{semanticImproverUid};Node;updateSemanticImprover;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /packs/{packKey}/binaries/{binaryId}/publish;Node;rudBinary;Node;readReferenceData;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /packs/{packKey}/publish;Node;publishPack;Node;readReferenceData;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /packs/{packKey}/unpublish;Node;unpublishPack;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /productReferences/{key};Node;datastoreCrud;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /products/{sourceSystem}/{functionalId};Node;sendEmail;Node;uniquenessSerialNumber;Node;updateProductWithMarket;;;;;;;;;;;;;;;;
Entrypoint;FIX;PUT /profiles/{sourceSystem}/{functionalId};Node;uniquenessSerialNumber;Node;updateProfileWrapper;Node;sendEmail;Node;findHouseholdByProfileId;Node;doubleOptin;;;;;;;;;;;;
Entrypoint;KEEP;PUT /profiles/{sourceSystem}/{functionalId}/accounts;Node;updateDeleteAccount;Node;findHouseholdByProfileId;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /profiles/{sourceSystem}/{functionalId}/accounts/{accountType};Node;updateDeleteAccount;Node;findHouseholdByProfileId;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /profiles/{sourceSystem}/{functionalId}/accounts/{accountType}/resetPassword;Node;findAndClassifyProfile;Node;sendEmail;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /profiles/{sourceSystem}/{functionalId}/authorizations;Node;indexatorAuthProfile;Node;sendEmail;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;PUT /profiles/optin;Node;sendEmail;Node;doubleOptin;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;PUT /profiles/optout;Node;sendEmail;Node;doubleOptin;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /recipes/{sourceSystem}/{functionalId};Node;cuRecipe;Node;readReferenceData;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /recipes/{sourceSystem}/{functionalId}/binaries/{binaryId}/publish;Node;rudBinary;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /references/{resourceName}/{key}/targetDomains;Node;functionalUpdateReferenceDataAssociatedDomains;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /statics/{fid}/properties;Node;mediasProperties;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /topRecipes/{sourceSystem}/{functionalId}/variants/status;Node;updateVariantsStatus;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /v2/packs/{packKey}/archives/{archiveId}/publish;Node;medias;Node;readReferenceData;Node;publishArchive;;;;;;;;;;;;;;;;
Entrypoint;DELETE;PUT /v2/products/{rcuAssetId};Node;sendEmail;Node;uniquenessSerialNumber;Node;updateProductWithMarket;;;;;;;;;;;;;;;;
Entrypoint;FIX;PUT /v2/profiles/{rcuAccountId};Node;updateProfileWrapper;Node;uniquenessSerialNumber;Node;doubleOptin;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /v2/profiles/{sourceSystem}/{functionalId}/accounts/{accountType};Node;updateDeleteAccount;Node;findHouseholdByProfileId;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /v2/profiles/{sourceSystem}/{functionalId}/accounts/{accountType}/resetPassword;Node;findAndClassifyProfile;Node;sendEmail;;;;;;;;;;;;;;;;;;
Entrypoint;FIX;PUT /v2/profiles/me;Node;updateProfileWrapper;Node;sendEmail;Node;uniquenessSerialNumber;Node;doubleOptin;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /v2/profiles/resetPassword;Node;findAndClassifyProfile;Node;sendEmail;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /v2/recipes/{sourceSystem}/{functionalId};Node;cuRecipe;Node;readReferenceData;Node;cuRecipe;Node;datastoreSearch;;;;;;;;;;;;;;
Entrypoint;KEEP;PUT /v2/rucProfiles/{rcuAccountId};Node;updateEaiAsynchronousProfiles;;;;;;;;;;;;;;;;;;;;
Node;DELETE;querySimilarRecipes;Exitpoint;search-query-service;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;Queue Consistency;Node;crudIndexation;Node;findByEmailInPerimeter;Node;semantization;;;;;;;;;;;;;;;;
Node;KEEP;readAllReferenceData;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;readApiproMedia;Node;apiproReadMedia;;;;;;;;;;;;;;;;;;;;
Node;DELETE;readBasicPreparation;Node;semanticReadBasicPreparation;;;;;;;;;;;;;;;;;;;;
Node;DELETE;readById;Node;datastoreReadById;;;;;;;;;;;;;;;;;;;;
Node;DELETE;readEnriched;Exitpoint;semantic-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;readEvaluationByRecipeAndUser;Node;datastoreReadEvaluationByRecipeAndUser;;;;;;;;;;;;;;;;;;;;
Node;KEEP;readEvaluationByUserAndDate;Node;datastoreReadEvaluationByUserAndDate;;;;;;;;;;;;;;;;;;;;
Node;KEEP;readEvaluationByUserId;Node;datastoreReadEvaluationByUserId;;;;;;;;;;;;;;;;;;;;
Node;KEEP;readExtendedProfile;Node;datastoreGetExtendedProfile;;;;;;;;;;;;;;;;;;;;
Node;DELETE;readFood;Node;semanticReadFood;;;;;;;;;;;;;;;;;;;;
Node;DELETE;readMedia;Node;s4ReadMedia;;;;;;;;;;;;;;;;;;;;
Node;KEEP;readProgramsByApplianceGroup;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;readRecipe;Node;datastoreCrud;;;;;;;;;;;;;;;;;;;;
Node;DELETE;readRecipeAdaptations;Node;datastoreReadRecipeAdaptations;;;;;;;;;;;;;;;;;;;;
Node;KEEP;readReferenceData;Node;datastoreReadReferenceData;;;;;;;;;;;;;;;;;;;;
